"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Name","0.5","Name-{musicbrainz_3710|spotify_6586}","{I Get By|I Get By}","I Get By",,
"Genre","1.0","Genre-{dbpedia_8313}","{Future bass,Electronic dance muslc}","Future bass,Electronic dance muslc",,
"Name","0.0","Name-{dbpedia_67|spotify_11746}","{Fast Lane (Bad Meets Evil song)|Fast Lane}","Fast Lane",,
"Name","0.3333333333333333","Name-{dbpedia_6924|spotify_11692|musicbrainz_28427}","{Welcome to the Family (song)|Welcome to the Family|Welcome to the Family}","Welcome to the Family",,
"Album","1.0","Album-{dbpedia_11045|musicbrainz_18369}","{Birds of Tokyo|Birds of Tokyo}","Birds of Tokyo",,
"Name","0.0","Name-{dbpedia_11562|spotify_4685}","{Live It Up (Jennifer Lopez song)|Live It Up}","Live It Up",,
"Duration","1.0","Duration-{spotify_18940}","{265382.0}","265382.0",,
"RecordLabel","1.0","RecordLabel-{dbpedia_2880}","{Hollywood Records}","Hollywood Records",,
"Album","1.0","Album-{dbpedia_1329}","{Where It's At}","Where It's At",,
"Artist","1.0","Artist-{dbpedia_3576|musicbrainz_2069}","{[Hard-fi]|[Hard-fi]}","[Hard-fi]",,
"Name","0.5","Name-{spotify_10945|dbpedia_503}","{Black Skinhead|Black Skinhead}","Black Skinhead",,
"Artist","0.5","Artist-{dbpedia_8654|spotify_12818}","{[Eric Church]|[Eric Church]}","[Eric Church]",,
"Year","1.0","Year-{spotify_16685|dbpedia_11270|musicbrainz_6906}","{2011-01-01T00:00|2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Album","1.0","Album-{dbpedia_8621}","{Fired Up}","Fired Up",,
"Name","0.5","Name-{dbpedia_1684|spotify_11026}","{The Nights|The Nights}","The Nights",,
"Writer","0.5","Writer-{dbpedia_7905|dbpedia_6030}","{Ricardo Arjona|Ricardo Arjona}","Ricardo Arjona",,
"Genre","1.0","Genre-{musicbrainz_21184}","{indie rock}","indie rock",,
"RecordLabel","1.0","RecordLabel-{dbpedia_9076}","{Big Machine Records}","Big Machine Records",,
"Duration","1.0","Duration-{spotify_12847}","{229813.0}","229813.0",,
"Album","1.0","Album-{dbpedia_6484}","{Side Effects of You}","Side Effects of You",,
"Genre","1.0","Genre-{dbpedia_7114}","{Hip hop}","Hip hop",,
"Duration","1.0","Duration-{spotify_18941}","{211909.0}","211909.0",,
"Duration","1.0","Duration-{spotify_19489|musicbrainz_17666}","{254000.0|254000.0}","254000.0",,
"Album","1.0","Album-{dbpedia_6225}","{5.0}","5.0",,
"Genre","1.0","Genre-{dbpedia_3418}","{Contemporary R,B,Bachata,Latin pop}","Contemporary R,B,Bachata,Latin pop",,
"Artist","0.6666666666666666","Artist-{musicbrainz_30754|musicbrainz_30751|dbpedia_1737}","{[Grinderman]|[Grinderman]|[Grinderman]}","[Grinderman]",,
"Year","0.0","Year-{spotify_16531|musicbrainz_4531}","{2020-01-01T00:00|2016-01-01T00:00}","2020-01-01T00:00",,
"Genre","1.0","Genre-{dbpedia_8577}","{Alternative rock}","Alternative rock",,
"Name","1.0","Name-{spotify_13748|dbpedia_5634|musicbrainz_25915}","{She's so Mean|She's So Mean|She’s So Mean}","She's so Mean",,
"Writer","1.0","Writer-{dbpedia_5638}","{Lee Brice}","Lee Brice",,
"Genre","1.0","Genre-{musicbrainz_727}","{alternative rock}","alternative rock",,
"Producer","1.0","Producer-{dbpedia_2752}","{Alex da Kid,Dan Reynolds}","Alex da Kid,Dan Reynolds",,
"Duration","1.0","Duration-{spotify_1274}","{228010.0}","228010.0",,
"Duration","1.0","Duration-{spotify_14144}","{228640.0}","228640.0",,
"RecordLabel","1.0","RecordLabel-{dbpedia_8979}","{Geffen Records}","Geffen Records",,
"Name","0.3333333333333333","Name-{spotify_19703|spotify_6640|dbpedia_8164}","{Round of Applause (feat. Drake)|Round of Applause (feat. Drake)|Round of Applause}","Round of Applause",,
"Writer","1.0","Writer-{dbpedia_6836}","{Michael Knox}","Michael Knox",,
"Artist","0.3333333333333333","Artist-{musicbrainz_20946|spotify_8630|dbpedia_2890}","{[The Vaccines]|[The Vaccines]|[The Vaccines]}","[The Vaccines]",,
"Producer","1.0","Producer-{dbpedia_1553}","{Mark Tremonti,Myles Kennedy,Scott Phillips,Brian Marshall}","Mark Tremonti,Myles Kennedy,Scott Phillips,Brian Marshall",,
"Duration","1.0","Duration-{spotify_2473}","{332383.0}","332383.0",,
"Genre","1.0","Genre-{musicbrainz_8020}","{post-rock}","post-rock",,
"Year","0.5","Year-{musicbrainz_33220|spotify_6784}","{2013-01-01T00:00|2013-01-01T00:00}","2013-01-01T00:00",,
"Artist","0.0","Artist-{spotify_18865|dbpedia_9419}","{[A$ap Rocky, Juicy J]|[A$ap Rocky]}","[Juicy J, A$ap Rocky]",,
"Name","1.0","Name-{dbpedia_6149|spotify_3750}","{Sea of Voices|Sea Of Voices}","Sea of Voices",,
"Year","1.0","Year-{dbpedia_11101|musicbrainz_14359}","{2013-01-01T00:00|2013-01-01T00:00}","2013-01-01T00:00",,
"Year","0.6666666666666666","Year-{spotify_13209|dbpedia_7075|spotify_17120}","{2016-01-01T00:00|2016-01-01T00:00|2016-01-01T00:00}","2016-01-01T00:00",,
"Year","0.5","Year-{musicbrainz_17670|spotify_16600}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Genre","1.0","Genre-{musicbrainz_8021}","{post-rock}","post-rock",,
"Duration","0.6666666666666666","Duration-{spotify_15698|musicbrainz_28523|musicbrainz_28548}","{256560.0|257093.0|187000.0}","233551.0",,
"Album","1.0","Album-{dbpedia_7422}","{Atlas}","Atlas",,
"Writer","1.0","Writer-{dbpedia_6837}","{Mike Will Made It}","Mike Will Made It",,
"Name","0.3333333333333333","Name-{spotify_4813|dbpedia_5404|spotify_12938}","{Roller Coaster|Roller Coaster (Luke Bryan song)|Roller Coaster}","Roller Coaster",,
"Year","0.5","Year-{musicbrainz_10762|dbpedia_10021}","{2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Producer","1.0","Producer-{dbpedia_1552}","{Graham Coxon,Dave Rowntree,(OBE),Alex James,Damon Albarn}","Graham Coxon,Dave Rowntree,(OBE),Alex James,Damon Albarn",,
"Year","0.0","Year-{spotify_12659|dbpedia_1751}","{2010-01-01T00:00|2011-01-01T00:00}","2010-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_9913}","{4AD}","4AD",,
"Duration","1.0","Duration-{musicbrainz_5816|spotify_3529}","{222053.0|222049.0}","222051.0",,
"Album","1.0","Album-{dbpedia_5024}","{Emotion}","Emotion",,
"Name","0.0","Name-{dbpedia_11318|spotify_14689}","{Let It Rain (David Nail song)|Let It Rain}","Let It Rain",,
"Genre","1.0","Genre-{dbpedia_7377}","{Christian alternative music,Christian rock,Contemporary Christian music}","Christian alternative music,Christian rock,Contemporary Christian music",,
"Album","1.0","Album-{dbpedia_10213}","{California Sunrise}","California Sunrise",,
"Year","0.5","Year-{musicbrainz_2338|spotify_9777}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Album","1.0","Album-{musicbrainz_3080}","{Break the Spell}","Break the Spell",,
"RecordLabel","1.0","RecordLabel-{dbpedia_451}","{Som Livre}","Som Livre",,
"Album","0.0","Album-{dbpedia_7287|musicbrainz_17682}","{Indicud|Indicud,Ministry of Sound: Fut.ur.ism}","Indicud",,
"Writer","1.0","Writer-{dbpedia_5637}","{Buddy Cannon,Kenny Chesney}","Buddy Cannon,Kenny Chesney",,
"Artist","0.0","Artist-{dbpedia_5173|spotify_5837|dbpedia_3786}","{[Clean Bandit]|[Clean Bandit, Jess Glynne]|[Jess Glynne]}","[Clean Bandit, Jess Glynne]",,
"Artist","1.0","Artist-{dbpedia_7798|spotify_11048}","{[Frankie Ballard]|[Frankie Ballard]}","[Frankie Ballard]",,
"Year","1.0","Year-{spotify_17982|musicbrainz_6716}","{2014-01-01T00:00|2014-01-01T00:00}","2014-01-01T00:00",,
"Name","0.0","Name-{musicbrainz_28352|dbpedia_9978}","{Let It Out|Let It Out (Switchfoot song)}","Let It Out",,
"Artist","0.5","Artist-{spotify_8139|musicbrainz_31546}","{[Gemini Syndrome]|[Gemini Syndrome]}","[Gemini Syndrome]",,
"Year","0.0","Year-{dbpedia_9389|spotify_8053}","{2012-01-01T00:00|2015-01-01T00:00}","2012-01-01T00:00",,
"Duration","0.5","Duration-{musicbrainz_21342|spotify_18042}","{262000.0|262320.0}","262160.0",,
"Album","1.0","Album-{dbpedia_11401}","{This Is Country Music}","This Is Country Music",,
"RecordLabel","0.5","RecordLabel-{dbpedia_5173|dbpedia_3786}","{Warner Music Group Corp.|Warner Music Group Corp.}","Warner Music Group Corp.",,
"Writer","1.0","Writer-{dbpedia_442}","{Guy-Manuel de Homem-Christo,Thomas Bangalter,Billy Mann,Julian Casablancas}","Guy-Manuel de Homem-Christo,Thomas Bangalter,Billy Mann,Julian Casablancas",,
"Artist","0.0","Artist-{dbpedia_1843|spotify_673}","{[Dj Khaled]|[Dj Khaled, Drake]}","[Dj Khaled, Drake]",,
"Name","0.0","Name-{spotify_11143|dbpedia_6608}","{Parachute|Parachute (Chris Stapleton song)}","Parachute",,
"Duration","1.0","Duration-{spotify_19777|musicbrainz_28291}","{285533.0|286000.0}","285766.5",,
"Album","1.0","Album-{musicbrainz_13473}","{Cry Baby}","Cry Baby",,
"Artist","0.5","Artist-{musicbrainz_24341|dbpedia_5596}","{[The Naked And Famous]|[The Naked And Famous]}","[The Naked And Famous]",,
"Name","0.5","Name-{spotify_11112|musicbrainz_21338}","{Daddy Issues|Daddy Issues}","Daddy Issues",,
"Album","1.0","Album-{musicbrainz_6411}","{Helplessness Blues}","Helplessness Blues",,
"Duration","0.5","Duration-{spotify_7598|musicbrainz_16238}","{150240.0|150253.0}","150246.5",,
"Duration","0.5","Duration-{musicbrainz_1934|spotify_2333}","{195000.0|194587.0}","194793.5",,
"Duration","1.0","Duration-{musicbrainz_27400|musicbrainz_27389|spotify_4775|musicbrainz_12435}","{221000.0|233000.0|233240.0|233000.0}","230060.0",,
"Album","0.5","Album-{dbpedia_10219|dbpedia_10529}","{Too Cool to Care|Too Cool to Care}","Too Cool to Care",,
"Duration","1.0","Duration-{musicbrainz_17674|spotify_14645}","{214000.0|214347.0}","214173.5",,
"Name","0.0","Name-{dbpedia_1763|spotify_9742}","{Motivation (Kelly Rowland song)|Motivation}","Motivation",,
"Album","0.5","Album-{musicbrainz_789|dbpedia_9035}","{My Head Is an Animal|My Head Is an Animal}","My Head Is an Animal",,
"Writer","1.0","Writer-{dbpedia_441}","{Shane McAnally,Luke Laird,Kacey Musgraves}","Shane McAnally,Luke Laird,Kacey Musgraves",,
"Name","0.5","Name-{musicbrainz_16783|spotify_13881}","{Trenches|Trenches}","Trenches",,
"Year","0.6666666666666666","Year-{spotify_19987|dbpedia_11548|spotify_18684}","{2015-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Artist","1.0","Artist-{spotify_3447|dbpedia_11091}","{[Maná]|[Maná]}","[Maná]",,
"Artist","1.0","Artist-{spotify_18737|dbpedia_732}","{[Shinedown]|[Shinedown]}","[Shinedown]",,
"Album","1.0","Album-{musicbrainz_13472}","{Cry Baby}","Cry Baby",,
"Name","1.0","Name-{spotify_9167|musicbrainz_4951}","{Running With Scissors|Running with Scissors}","Running With Scissors",,
"Album","1.0","Album-{musicbrainz_6410}","{Helplessness Blues}","Helplessness Blues",,
"Album","1.0","Album-{musicbrainz_6676}","{ソルファ (2016)}","ソルファ (2016)",,
"Genre","0.0","Genre-{musicbrainz_26544|dbpedia_3393}","{marina the diamonds|Electropop,Disco,Dance-pop}","Electropop,Disco,Dance-pop",,
"Year","0.0","Year-{dbpedia_4960|spotify_14687}","{2012-01-01T00:00|2011-01-01T00:00}","2012-01-01T00:00",,
"Writer","0.5","Writer-{dbpedia_2144|dbpedia_5066}","{Greg Kurstin|Greg Kurstin}","Greg Kurstin",,
"Album","0.5","Album-{dbpedia_3907|dbpedia_5809}","{Duets II|Duets II}","Duets II",,
"Album","1.0","Album-{dbpedia_1959|musicbrainz_3680}","{Hozier|Hozier}","Hozier",,
"Year","0.6666666666666666","Year-{musicbrainz_24455|musicbrainz_24474|spotify_18783}","{2013-01-01T00:00|2013-01-01T00:00|2013-01-01T00:00}","2013-01-01T00:00",,
"Artist","1.0","Artist-{musicbrainz_22418|spotify_17661}","{[Neon Indian]|[Neon Indian]}","[Neon Indian]",,
"Genre","0.6666666666666666","Genre-{musicbrainz_25589|dbpedia_10716|musicbrainz_25608}","{industrial metal|Thrash metal,Industrial metal|industrial metal}","Thrash metal,Industrial metal",,
"Album","1.0","Album-{musicbrainz_13476}","{Cry Baby}","Cry Baby",,
"Year","0.5","Year-{dbpedia_8211|spotify_12128}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_445}","{James Murphy,Arcade Fire,Markus Dravs}","James Murphy,Arcade Fire,Markus Dravs",,
"Writer","1.0","Writer-{dbpedia_8108}","{Dan Muckala}","Dan Muckala",,
"Name","0.0","Name-{spotify_435|dbpedia_7422}","{Talking Backwards|Talking Backwards (song)}","Talking Backwards",,
"Album","1.0","Album-{musicbrainz_13475}","{Cry Baby}","Cry Baby",,
"Artist","0.5","Artist-{dbpedia_4960|spotify_14687}","{[Hunter Hayes]|[Hunter Hayes]}","[Hunter Hayes]",,
"Name","0.0","Name-{dbpedia_8602|musicbrainz_10878|musicbrainz_10854}","{Formaldehyde (song)|Formaldehyde (acoustic)|Formaldehyde}","Formaldehyde",,
"Name","0.5","Name-{spotify_14839|dbpedia_6086}","{We Were Us|We Were Us}","We Were Us",,
"Artist","0.6666666666666666","Artist-{dbpedia_2978|spotify_8708|spotify_12694}","{[Breaking Benjamin]|[Breaking Benjamin, Valora]|[Breaking Benjamin]}","[Valora, Breaking Benjamin]",,
"Year","0.3333333333333333","Year-{spotify_15695|musicbrainz_12867|dbpedia_2915}","{2011-01-01T00:00|2011-01-01T00:00|2010-01-01T00:00}","2011-01-01T00:00",,
"Name","0.5","Name-{dbpedia_10556|spotify_4428|spotify_13617|spotify_10667}","{All of the Lights|All Of The Lights - Album Version (Edited)|All Of The Lights (Interlude)|All Of The Lights}","All of the Lights",,
"Producer","1.0","Producer-{dbpedia_7629}","{Brett James,Dierks Bentley}","Brett James,Dierks Bentley",,
"Artist","0.6666666666666666","Artist-{spotify_19936|spotify_13101|dbpedia_8231}","{[Little Mix]|[Little Mix, Jason Derulo]|[Little Mix]}","[Little Mix, Jason Derulo]",,
"Producer","0.5","Producer-{dbpedia_1110|dbpedia_1098}","{Dillon Francis,DJ Snake|Dillon Francis,DJ Snake}","Dillon Francis,DJ Snake",,
"Writer","1.0","Writer-{dbpedia_443}","{Ryan Tedder,John Ryan,Benny Blanco}","Ryan Tedder,John Ryan,Benny Blanco",,
"Writer","1.0","Writer-{dbpedia_8107}","{Johnny K}","Johnny K",,
"Album","1.0","Album-{musicbrainz_13474}","{Cry Baby}","Cry Baby",,
"Album","1.0","Album-{musicbrainz_13463|musicbrainz_13441}","{This Modern Glitch|This Modern Glitch}","This Modern Glitch",,
"Year","0.5","Year-{dbpedia_3853|musicbrainz_9150|spotify_17936|spotify_11169}","{2014-01-01T00:00|2015-01-01T00:00|2014-01-01T00:00|2015-01-01T00:00}","2014-01-01T00:00",,
"Year","0.75","Year-{musicbrainz_29560|musicbrainz_29563|musicbrainz_29547|spotify_17583}","{2010-01-01T00:00|2010-01-01T00:00|2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Name","0.0","Name-{spotify_6538|musicbrainz_33633}","{Cloud of Unknowing (feat. Bobby Womack and Sinfonia ViVA)|Cloud of Unknowing}","Cloud of Unknowing",,
"Writer","1.0","Writer-{dbpedia_6809}","{Rob Caggiano,Michael Poulsen}","Rob Caggiano,Michael Poulsen",,
"Producer","1.0","Producer-{dbpedia_7626}","{Dallon Weekes,Brendon Urie}","Dallon Weekes,Brendon Urie",,
"Album","1.0","Album-{dbpedia_11405}","{Born Free}","Born Free",,
"Duration","0.5","Duration-{musicbrainz_12887|spotify_262}","{172000.0|172573.0}","172286.5",,
"Name","0.0","Name-{spotify_18644|dbpedia_10906}","{This Means War|This Means War (Nickelback song)}","This Means War",,
"Artist","1.0","Artist-{dbpedia_1778|spotify_7799}","{[One Direction]|[One Direction]}","[One Direction]",,
"Year","0.5","Year-{musicbrainz_6144|dbpedia_4567}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"Writer","1.0","Writer-{dbpedia_447}","{Metro Boomin,DJ Spinz}","Metro Boomin,DJ Spinz",,
"Year","1.0","Year-{musicbrainz_11804|dbpedia_4078}","{2016-01-01T00:00|2016-01-01T00:00}","2016-01-01T00:00",,
"Name","0.5","Name-{musicbrainz_14277|spotify_3550}","{Diet Mountain Dew|Diet Mountain Dew}","Diet Mountain Dew",,
"Writer","0.5","Writer-{dbpedia_2098|dbpedia_480}","{Tiësto,Martin Garrix|Martin Garrix,Tiësto}","Tiësto,Martin Garrix",,
"Album","0.5","Album-{dbpedia_5173|dbpedia_3786}","{I Cry When I Laugh,New Eyes|New Eyes,I Cry When I Laugh}","New Eyes,I Cry When I Laugh",,
"Producer","1.0","Producer-{dbpedia_7627}","{Zach Crowell,Ashley Gorley}","Zach Crowell,Ashley Gorley",,
"Genre","0.0","Genre-{dbpedia_2688|musicbrainz_23089}","{Rock music,Alternative rock,Psychedelic rock|rock}","Rock music,Alternative rock,Psychedelic rock",,
"Album","1.0","Album-{musicbrainz_13477}","{Cry Baby}","Cry Baby",,
"Year","0.6","Year-{dbpedia_4490|spotify_10856|musicbrainz_27275|musicbrainz_27265|musicbrainz_27227}","{2012-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Genre","0.0","Genre-{dbpedia_918|musicbrainz_29344}","{Indietronica,Pop punk,Emo,Indie rock|punk}","Indietronica,Pop punk,Emo,Indie rock",,
"Name","0.25","Name-{spotify_238|spotify_18744|dbpedia_10180|dbpedia_5713}","{Clique|Clique - Album Version (Edited)|Clique (song)|Clique (song)}","Clique",,
"Name","0.3333333333333333","Name-{musicbrainz_33609|dbpedia_11301|spotify_7557}","{Revolving Doors|Revolving Doors (Gorillaz song)|Revolving Doors}","Revolving Doors",,
"Writer","1.0","Writer-{dbpedia_11091}","{Alex González}","Alex González",,
"Artist","0.6666666666666666","Artist-{musicbrainz_32045|dbpedia_3390|musicbrainz_32028}","{[Lawson]|[Lawson]|[Lawson]}","[Lawson]",,
"Producer","0.5","Producer-{dbpedia_2982|dbpedia_6042}","{Nicky Romero,Noonie Bao,Avicii|Avicii,Nicky Romero,Noonie Bao}","Nicky Romero,Noonie Bao,Avicii",,
"Producer","1.0","Producer-{dbpedia_7624}","{Linkin Park}","Linkin Park",,
"RecordLabel","1.0","RecordLabel-{dbpedia_4147}","{Copenhagen Records,Warner Bros. Records}","Copenhagen Records,Warner Bros. Records",,
"Duration","1.0","Duration-{musicbrainz_8267}","{233000.0}","233000.0",,
"Name","1.0","Name-{dbpedia_2955|spotify_11202}","{Love on the Brain|Love On The Brain}","Love on the Brain",,
"Artist","1.0","Artist-{spotify_1187|dbpedia_5719}","{[Rascal Flatts]|[Rascal Flatts]}","[Rascal Flatts]",,
"Duration","0.5","Duration-{musicbrainz_23258|spotify_19547}","{215960.0|215960.0}","215960.0",,
"RecordLabel","0.5","RecordLabel-{dbpedia_2098|dbpedia_480}","{Musical Freedom,Spinnin' Records|Musical Freedom,Spinnin' Records}","Musical Freedom,Spinnin' Records",,
"Year","0.3333333333333333","Year-{musicbrainz_31948|dbpedia_2739|spotify_2322}","{2011-01-01T00:00|2012-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Year","0.6666666666666666","Year-{musicbrainz_13723|musicbrainz_13735|dbpedia_4754}","{2010-01-01T00:00|2010-01-01T00:00|2011-01-01T00:00}","2010-01-01T00:00",,
"Artist","0.0","Artist-{dbpedia_2701|dbpedia_1569|spotify_10880}","{[Wiz Khalifa]|[Chief Keef]|[Chief Keef, 50 Cent, Wiz Khalifa]}","[Chief Keef, 50 Cent, Wiz Khalifa]",,
"Artist","1.0","Artist-{dbpedia_154|musicbrainz_9579}","{[Kimbra]|[Kimbra]}","[Kimbra]",,
"Genre","1.0","Genre-{dbpedia_8558}","{Nu metal}","Nu metal",,
"RecordLabel","1.0","RecordLabel-{dbpedia_7741}","{Bigger Picture Music Group}","Bigger Picture Music Group",,
"Artist","0.5","Artist-{musicbrainz_119|spotify_1624}","{[Halsey]|[Halsey]}","[Halsey]",,
"Album","1.0","Album-{musicbrainz_13479}","{Cry Baby}","Cry Baby",,
"Duration","0.5","Duration-{musicbrainz_31276|spotify_15867}","{230267.0|230267.0}","230267.0",,
"Duration","1.0","Duration-{musicbrainz_23855}","{252000.0}","252000.0",,
"Producer","1.0","Producer-{dbpedia_6428}","{Colt Ford,Brantley Gilbert}","Colt Ford,Brantley Gilbert",,
"Producer","1.0","Producer-{dbpedia_9188}","{Kendrick Lamar}","Kendrick Lamar",,
"Writer","1.0","Writer-{dbpedia_448}","{Jason ""DaHeala"" Quenneville,Jason 'DaHeala' Quenneville,The Weeknd}","Jason ""DaHeala"" Quenneville,Jason 'DaHeala' Quenneville,The Weeknd",,
"Genre","0.0","Genre-{dbpedia_5449|musicbrainz_28641}","{Sludge metal|progressive metal}","progressive metal",,
"Duration","1.0","Duration-{spotify_18957}","{181987.0}","181987.0",,
"Name","0.5","Name-{spotify_17151|musicbrainz_20446}","{For Elise|For Elise}","For Elise",,
"Genre","0.6666666666666666","Genre-{musicbrainz_14071|musicbrainz_14055|dbpedia_3356}","{hard rock|hard rock|Alternative metal}","Alternative metal",,
"Duration","1.0","Duration-{spotify_19804|musicbrainz_3676}","{218987.0|218824.0}","218905.5",,
"Genre","0.5","Genre-{dbpedia_2788|dbpedia_5432}","{Contemporary R,B,Hip hop|Hip hop,Contemporary R,B}","Contemporary R,B,Hip hop",,
"Writer","1.0","Writer-{dbpedia_8103}","{Dann Huff}","Dann Huff",,
"Name","0.0","Name-{dbpedia_2094|spotify_12357}","{Never Forget You (MNEK and Zara Larsson song)|Never Forget You}","Never Forget You",,
"Genre","1.0","Genre-{musicbrainz_16237}","{american}","american",,
"Name","0.25","Name-{spotify_9679|dbpedia_8053|spotify_10903|spotify_13791}","{The One That Got Away|The One That Got Away (Katy Perry song)|The One That Got Away|The One That Got Away - Acoustic}","The One That Got Away",,
"Name","0.3333333333333333","Name-{musicbrainz_5742|spotify_12951|dbpedia_2120}","{Bright|Bright|Bright (song)}","Bright",,
"Artist","0.5","Artist-{musicbrainz_6454|spotify_6767}","{[Atlas Genius]|[Atlas Genius]}","[Atlas Genius]",,
"Artist","1.0","Artist-{musicbrainz_10158|musicbrainz_10132|dbpedia_307}","{[Django Django]|[Django Django]|[Django Django]}","[Django Django]",,
"Writer","1.0","Writer-{dbpedia_2273}","{Kanye West,WondaGurl}","Kanye West,WondaGurl",,
"Artist","0.5","Artist-{spotify_11139|dbpedia_2273}","{[Rihanna]|[Rihanna]}","[Rihanna]",,
"Writer","1.0","Writer-{dbpedia_9301}","{Interpol}","Interpol",,
"Name","0.0","Name-{dbpedia_4324|spotify_15812}","{Remember You|Remember You (feat. The Weeknd)}","Remember You",,
"Name","0.6666666666666666","Name-{spotify_19688|musicbrainz_29695|musicbrainz_29678}","{I'm Low On Gas And You Need A Jacket|I'm Low on Gas and You Need a Jacket (alternate version)|I'm Low on Gas and You Need a Jacket}","I'm Low On Gas And You Need A Jacket",,
"Duration","1.0","Duration-{spotify_11660}","{218200.0}","218200.0",,
"Duration","1.0","Duration-{spotify_15806|spotify_12917}","{197132.0|197800.0}","197466.0",,
"Producer","1.0","Producer-{dbpedia_3928}","{Frank Ocean,Ray Hammond,Earl Sweatshirt}","Frank Ocean,Ray Hammond,Earl Sweatshirt",,
"Producer","1.0","Producer-{dbpedia_6689}","{Gianfranco Reverberi,Ross Copperman,Gian Piero Reverberi,CeeLo Green,Brett Eldredge,Danger Mouse}","Gianfranco Reverberi,Ross Copperman,Gian Piero Reverberi,CeeLo Green,Brett Eldredge,Danger Mouse",,
"Genre","1.0","Genre-{musicbrainz_33609}","{electronic}","electronic",,
"Duration","0.3333333333333333","Duration-{spotify_18510|musicbrainz_7897|musicbrainz_7925}","{266160.0|266000.0|324000.0}","285386.6666666667",,
"Name","0.5","Name-{musicbrainz_359|spotify_16607}","{Every Lie|Every Lie}","Every Lie",,
"Writer","1.0","Writer-{dbpedia_3471}","{Carl Falk,Rami Yacoub}","Carl Falk,Rami Yacoub",,
"Artist","0.6666666666666666","Artist-{dbpedia_9686|spotify_2644|musicbrainz_6622}","{[American Authors]|[American Authors]|[American Authors]}","[American Authors]",,
"Year","0.6666666666666666","Year-{dbpedia_2406|spotify_11144|dbpedia_9772}","{2015-01-01T00:00|2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"RecordLabel","1.0","RecordLabel-{dbpedia_1648}","{J Records}","J Records",,
"RecordLabel","1.0","RecordLabel-{dbpedia_4146}","{Standby Records}","Standby Records",,
"Genre","1.0","Genre-{musicbrainz_16236}","{american}","american",,
"Name","0.5","Name-{dbpedia_8755|spotify_15745}","{Hold It Against Me|Hold It Against Me}","Hold It Against Me",,
"Producer","1.0","Producer-{dbpedia_9186}","{David Hodges,Christina Perri}","David Hodges,Christina Perri",,
"Name","0.5","Name-{dbpedia_4960|spotify_14687}","{Somebody's Heartbreak|Somebody's Heartbreak}","Somebody's Heartbreak",,
"Genre","1.0","Genre-{dbpedia_10254}","{Pop rock,Soul}","Pop rock,Soul",,
"Producer","1.0","Producer-{dbpedia_4027}","{Brent Smith,Dave Bassett}","Brent Smith,Dave Bassett",,
"Duration","1.0","Duration-{musicbrainz_5767}","{257000.0}","257000.0",,
"Genre","0.0","Genre-{dbpedia_2779|musicbrainz_20915}","{Indietronica,Indie rock|indie rock}","Indietronica,Indie rock",,
"Name","0.0","Name-{spotify_1293|dbpedia_5681}","{Tonight Is the Night|Tonight Is the Night (song)}","Tonight Is the Night",,
"Year","1.0","Year-{musicbrainz_12427|spotify_18677|musicbrainz_27374|musicbrainz_27363}","{2012-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Year","0.0","Year-{dbpedia_7213|musicbrainz_26375}","{2010-01-01T00:00|2011-01-01T00:00}","2010-01-01T00:00",,
"Name","0.0","Name-{spotify_15859|dbpedia_5089}","{Battle Born|Battle Born (song)}","Battle Born",,
"Artist","1.0","Artist-{musicbrainz_33646|spotify_9887}","{[Queens Of The Stone Age]|[Queens Of The Stone Age]}","[Queens Of The Stone Age]",,
"Year","0.25","Year-{musicbrainz_33212|dbpedia_2537|spotify_9899|spotify_10891}","{2012-01-01T00:00|2012-01-01T00:00|2013-01-01T00:00|2012-01-01T00:00}","2012-01-01T00:00",,
"Genre","1.0","Genre-{dbpedia_11455}","{Reggaeton}","Reggaeton",,
"Artist","0.6666666666666666","Artist-{dbpedia_8167|musicbrainz_10612|spotify_10727}","{[Plain White T's]|[Plain White T’s]|[""plain White Ts""]}","[""plain White Ts""]",,
"Genre","1.0","Genre-{musicbrainz_16235}","{american}","american",,
"Producer","1.0","Producer-{dbpedia_7620}","{Martin Garrix}","Martin Garrix",,
"Year","0.5","Year-{spotify_11139|dbpedia_2273}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
